name
Facebook
"A news outlet: Nola.com, The Advocate"
Family / friend
Word of Mouth
GCPD
Outreach event
LYRIC program attendee
Flier / PM print material
District Attorney's Office
Public Defender's Office
Advocacy / Community Organization
City Hall
Website
Other
